"Astro_1vAll","Astro_pw","Endo.Mural_1vAll","Endo.Mural_pw","Excit_A_1vAll","Excit_A_pw","Excit_B_1vAll","Excit_B_pw","Excit_C_1vAll","Excit_C_pw","Excit_D_1vAll","Excit_D_pw","Excit_E_1vAll","Excit_E_pw","Excit_F_1vAll","Excit_F_pw","Inhib_A_1vAll","Inhib_A_pw","Inhib_B_1vAll","Inhib_B_pw","Inhib_C_1vAll","Inhib_C_pw","Inhib_D_1vAll","Inhib_D_pw","Inhib_E_1vAll","Inhib_E_pw","Inhib_F_1vAll","Inhib_F_pw","Micro_1vAll","Micro_pw","Neuron.5HT_1vAll","Neuron.5HT_pw","Neuron.NE_1vAll","Neuron.NE_pw","Oligo_1vAll","Oligo_pw","OPC_1vAll","OPC_pw"
"HPSE2","HPSE2","ADGRF5","ADGRF5","PAX5","PAX5","AC007614.1","AC007614.1","MME","MME","ST6GALNAC5","EYA2","AC002383.1","AC002383.1","PITX2","PITX2","HMCN1","HMCN1","LHX1","CBLN4","OTX2-AS1","OTX2-AS1","C5orf66","C5orf66","DACH2","COL12A1","AL450267.2","AL138720.1","DOCK8","DOCK8","SLC6A4","SLC6A4","AC105389.3","AC105389.3","ST18","ST18","MEGF11","MEGF11"
"RFX4","RFX4","CLDN5","CLDN5","NWD2","HAS2-AS1","LMX1A","LMX1A","FAT2","FAT2","EYA2","F11-AS1","ZNF804B","ZNF804B","SHOX2","SHOX2","CADPS2","CNR1","CBLN4","SLC32A1","OTX2","OTX2","NXPH2","AL591463.1","OTP","NHLH2","AL138720.1","AL450267.2","FYB1","FYB1","TPH2","TPH2","SLC6A2","SLC6A2","AC012494.1","AC012494.1","PDGFRA","PDGFRA"
"OBI1-AS1","OBI1-AS1","TGM2","EPAS1","LINC01798","ADAMTS2","ONECUT1","POU6F2","BMP5","FAM163A","AC105389.3","ST6GALNAC5","RELN","GLRA3","AC114316.1","AC114316.1","AC107223.1","HTR2C","GAD1","AC117461.1","CASR","CASR","AL591463.1","KCNH7","COL12A1","RGMB","AC138305.1","LAMP5","APBB1IP","APBB1IP","DDC","AC104984.4","SLC5A7","SLC5A7","ENPP2","ENPP2","BX284613.2","BX284613.2"
"AC012405.1","AC012405.1","FLT1","FLT1","CLMP","LINC01828","CALB1","CALB1","BARHL1","AC019211.1","F11-AS1","COL22A1","LYPD6B","GDNF-AS1","ADAMTSL1","ADAMTSL1","HTR2C","AC107223.1","MYO16","LHX1","DMBX1","KIT","NRP1","GPR39","CDH8","ADRA1A","SLC6A5","AL391832.4","C3","C3","AC104984.4","FEV","SLC18A2","SHOX","MOBP","MOBP","COL9A1","TNR"
"TNC","GFAP","EPAS1","TGM2","KCNQ5","LINC01798","CBLN1","AC044798.3","AC019211.1","BMP5","SYT10","CCDC144NL-AS1","ZFHX3","ZFHX3","C1QL2","C1QL2","GAD2","CADPS2","SLC32A1","LYPD1","PCOLCE2","DMBX1","RASGEF1B","AC093912.1","NHLH2","AC007563.2","AC040174.1","AL359915.1","LNCAROD","LNCAROD","FEV","LINC01242","SHOX","DBH","SLC5A11","SLC5A11","BEST3","SOX6"
"GFAP","TNC","MECOM","IFITM3","BCL11B","AC022523.1","AC044798.3","CBLN1","FAM163A","BARHL1","PHOX2B","CNGB1","GDNF-AS1","CNTN5","AOX1","AOX1","CNR1","","LINC01210","SFRP1","LINC02055","LINC02055","EBF3","AL034348.1","AC007563.2","","FOXP2","AC138305.1","TBXAS1","TBXAS1","LINC01242","DDC","AL136119.1","TH","MOG","UGT8","TNR","COL9A1"
"FAM189A2","SLC14A1","ITGA1","MECOM","SLC17A6","LINC00923","POU6F2","FSTL4","AC067956.1","AC067956.1","AC016074.2","KHDRBS2-OT","TFAP2B","PLCE1","CBLN2","LINC02163","ZFPM2","","GAD2","CAMK2N2","LINC02253","PCOLCE2","OTP","","RGMB","","AL359915.1","MDFIC","ADAM28","ADAM28","SLC18A2","NPNT","ARHGAP36","SCUBE1","UGT8","MOG","SOX6","PTPRZ1"
"SLC14A1","LINC01088","IFITM3","ITGA1","MIR4500HG","KCNH1","FSTL4","BNC2","HOXB3","HOXB3","TCERG1L","NCAM2","ZFHX4-AS1","","LINC02163","CBLN2","CNTN4","","LHX1-DT","MRPS24","LINC01210","LINC02253","PDGFD","","GABRG1","","LAMP5","ESRRB","PTPRC","DLEU1","NPNT","ITGBL1","PMFBP1","GEM","LDB3","LDB3","AC004852.2","BEST3"
"LINC00299","AQP4","COBLL1","ATP10A","MEIS2","SHISAL1","BNC2","KCNK13","LINC02694","LINC02694","COL22A1","MMP17","GLRA3","","AC013287.1","LINC01470","THSD7B","","ZNF385B","ATP5MC3","SHISA8","SHISA8","AL356295.1","","ST6GAL2","","AL391832.4","AC040174.1","DOCK2","DOCK2","LINC01997","AC122707.1","DBH","HMCN2","PLP1","PLP1","VCAN","VCAN"
"LINC01088","MRVI1","ERG","ERG","ADAMTS2","LRRN3","KCNK13","AP005230.1","INSRR","INSRR","BCL11A","","PCDH11X","","LINC01470","AC013287.1","SLC35F4","","PRR16","SLC25A5","SYNPR","LINC01210","RIT2","","CRTAC1","","TRPC7","SLC6A5","DLEU1","CSF2RA","ITGBL1","GATA3","TH","TACR3","TMEM144","CTNNA3","PTPRZ1","AC004852.2"
