"ambig.lowNTx_1vAll","ambig.lowNTx_pw","Astro_1vAll","Astro_pw","Endo.Mural_1vAll","Endo.Mural_pw","Excit_A_1vAll","Excit_A_pw","Excit_B_1vAll","Excit_B_pw","Excit_C_1vAll","Excit_C_pw","Excit_D_1vAll","Excit_D_pw","Excit_E_1vAll","Excit_E_pw","Excit_F_1vAll","Excit_F_pw","Inhib_A_1vAll","Inhib_A_pw","Inhib_B_1vAll","Inhib_B_pw","Inhib_C_1vAll","Inhib_C_pw","Inhib_D_1vAll","Inhib_D_pw","Micro_1vAll","Micro_pw","Neuron.5HT_1vAll","Neuron.5HT_noDDC_1vAll","Neuron.5HT_noDDC_pw","Neuron.5HT_pw","Neuron.ambig_A_1vAll","Neuron.ambig_A_pw","Neuron.ambig_B_1vAll","Neuron.ambig_B_pw","Neuron.ambig_C_1vAll","Neuron.ambig_C_pw","Neuron.ambig_D_1vAll","Neuron.ambig_D_pw","Neuron.mixed_A_1vAll","Neuron.mixed_A_pw","Neuron.mixed_B_1vAll","Neuron.mixed_B_pw","Neuron.NE_1vAll","Neuron.NE_pw","Oligo_A_1vAll","Oligo_A_pw","Oligo_B_1vAll","Oligo_B_pw","OPC_1vAll","OPC_pw"
"MT-CO3","","TNC","HPSE2","EPAS1","EPAS1","EYA2","EYA2","LMX1A","AC007614.1","PAX5","PAX5","MME","MME","LINC02263","LINC02263","AOX1","AOX1","NFIB","PAX2","CBLN4","CBLN4","OTX2-AS1","OTX2-AS1","HMCN1","HMCN1","DOCK8","DOCK8","SLC6A4","SLC6A4","","AC104984.4","LINC01811","CLSTN2","HIF1A-AS3","HIF1A-AS3","GPC5","","AC011246.1","AC011246.1","TENM2","","RAB3A","RAB3A","AC105389.3","AC105389.3","LDB3","ST18","ST18","","BX284613.2","BX284613.2"
"MT-CO2","","HPSE2","OBI1-AS1","FLT1","FLT1","ST6GALNAC5","F11-AS1","AC007614.1","LMX1A","NWD2","HAS2-AS1","FAT2","FAT2","LINC02822","LINC02822","AC013287.1","LINC02163","ZFPM2","","LINC01210","AC117461.1","OTX2","OTX2","CADPS2","HTR2C","FYB1","FYB1","AC104984.4","TPH2","","LINC01242","KCNQ5","","HS3ST2","SEMA3D","SYN3","","PDE1A","","FGF12","","NEFH","ISCU","AL136119.1","SLC5A7","UGT8","ENPP2","CTNNA3","","PDGFRA","PDGFRA"
"MT-CO1","","OBI1-AS1","TNC","ATP10A","ATP10A","F11-AS1","","KCNK13","AC044798.3","KCNQ5","NR2F1","BMP5","BMP5","AL117329.1","AL117329.1","ADAMTSL1","ADAMTSL1","PAX2","","LINC01956","ST6GAL2","CASR","CASR","ZFPM2","AC107223.1","APBB1IP","APBB1IP","TPH2","GPR149","","ITGBL1","CLSTN2","","ANK1","ANK1","ALK","","C8orf34","","CDH18","","ISCU","CAMK2N2","SLC5A7","GEM","FA2H","MOBP","PLP1","","MEGF11","AC004852.2"
"MT-ND1","","RFX4","RFX4","COBLL1","COBLL1","SERPINI2","","BNC2","KCNK13","HAS2-AS1","LINC02698","FAM163A","CYP3A5","XIST","XIST","LINC02163","PITX2","NXPH2","","GAD1","AC114284.1","PCOLCE2","PCOLCE2","AC107223.1","","LNCAROD","LNCAROD","LINC01242","GCH1","","SLC6A4","RASGEF1B","","SEMA3D","AC113414.1","CADPS","","HS3ST4","","ATP8A2","","LDHA","COX7C","GEM","SLC6A2","ENPP2","C10orf90","TF","","AC004852.2","MEGF11"
"MT-ND4","","SLC14A1","SLC14A1","MECOM","MECOM","WDR49","","FSTL4","CALB1","ADARB2","ADAMTS2","AC136431.1","AC093765.2","CBLN2","AL591501.1","SAMSN1","SHOX2","LINC00461","","MYO16","MARCH11","LINC02055","LINC02253","NFIB","","PTPRC","PTPRC","ITGBL1","GALNTL6","","NDNF","GRIK1","","SPHKAP","HS3ST2","FMN1","","KCNH7","","KAZN","","TUBB2A","NEFH","PMFBP1","SHOX","C10orf90","CTNNA3","AC012494.1","","BEST3","BEST3"
"MT-ATP6","","AC012405.1","AC012405.1","ADGRF5","ADGRF5","AC105389.3","","SAMD3","BNC2","DRD2","AC022523.1","LINC02694","INSRR","LINC01378","LINC01378","LINC02653","LINC02653","PDZRN4","","ST6GAL2","SERTM1","LINC02253","LINC02055","CNTN4","","C3","C3","DDC","GPC5","","FEV","THSD7B","","BDNF","","LRFN5","","ZNF385D","","ROBO1","","TUBA4A","TUBB3","SLC6A2","GPR139","ATP10B","LDB3","MBP","","COL9A1","COL9A1"
"SCG2","","EFEMP1","EFEMP1","LEF1","ABCB1","KHDRBS2","","POU6F2","FSTL4","MEIS2","LRRN3","AC093765.2","FAM163A","AL591501.1","AC021613.1","PMFBP1","LINC01470","PRLR","","GAD2","","DMBX1","DMBX1","GAD2","","ADAM28","ADAM28","GATA3","NYAP2","","NPNT","ZFPM2","","AC113414.1","","RASGEF1B","","GLRA3","","LRRC4C","","CAMK2N2","ATP5MC3","SHOX","AP001977.1","SLC5A11","TF","MOBP","","PTPRZ1","PTPRZ1"
"MEG3","","MRVI1","MRVI1","ABCB1","CLDN5","SV2C","","AC044798.3","CRNDE","PLCH1","MYLIP","RASGRP1","LINC02694","AC021613.1","DLGAP1-AS4","PITX2","CRHBP","TMEM132D","","TLL1","","SHISA8","SHISA8","GRIK2","","TBXAS1","INPP5D","NDNF","PDGFD","","TPH2","ZNF385B","","ARHGAP6","","MCTP1","","ZFHX3","","RIMS2","","TUBB3","DYNLT3","SLC18A2","AL136119.1","PIEZO2","FA2H","QKI","","SOX6","SOX6"
"MT-CYB","","MGST1","AC114971.1","CLDN5","ITGA1","BCL11A","","TFAP2B","AP005230.1","NR2F1","NWD2","CYP3A5","ST8SIA2","DLGAP1-AS4","CBLN2","SHOX2","C1QL2","NFIA","","LHX1","","LINC01210","KIT","LINGO2","","SYK","TBXAS1","SLC18A2","PTPRM","","AC122707.1","GPC5","","EBF1","","PAM","","ZNF385B","","DSCAM","","THY1","TUBB2A","GPR139","HMCN2","TMEM144","UGT8","RNF220","","VCAN","VCAN"
"GNAS","","FAM189A2","FGFR3","ITGA1","ABCG2","BMPER","","CALB1","POU6F2","ADAMTS2","LINC01798","ADAMTS20","ADAMTS20","NRGN","GCNT4","C1QL2","AC114316.1","CNR1","","ZMAT4","","LINC01508","LINC01210","HTR2C","","INPP5D","SYK","FEV","HCRTR2","","DDC","ESRRG","","ADARB2","","SV2B","","OLFM3","","FGF14","","ATP6V1G2","PGAM1","AP001977.1","DCBLD2","FAM107B","SLC5A11","SLC44A1","","TNR","TNR"
